Cluster;Number of Tags;% of Tags;Number of Videos;% of Videos
121;2;3.044093697204E-005;1;6.90063499643237E-007
122;2;3.044093697204E-005;2;1.38012699928647E-006
123;2;3.044093697204E-005;2;1.38012699928647E-006
124;2;3.044093697204E-005;2;1.38012699928647E-006
125;2;3.044093697204E-005;1;6.90063499643237E-007
126;2;3.044093697204E-005;2;1.38012699928647E-006
127;2;3.044093697204E-005;1;6.90063499643237E-007
128;2;3.044093697204E-005;1;6.90063499643237E-007
129;2;3.044093697204E-005;3;2.07019049892971E-006
130;2;3.044093697204E-005;1;6.90063499643237E-007
131;2;3.044093697204E-005;1;6.90063499643237E-007
132;2;3.044093697204E-005;1;6.90063499643237E-007
133;2;3.044093697204E-005;1;6.90063499643237E-007
134;2;3.044093697204E-005;1;6.90063499643237E-007
135;2;3.044093697204E-005;1;6.90063499643237E-007
136;2;3.044093697204E-005;1;6.90063499643237E-007
137;2;3.044093697204E-005;1;6.90063499643237E-007
138;2;3.044093697204E-005;2;1.38012699928647E-006
139;2;3.044093697204E-005;1;6.90063499643237E-007
140;2;3.044093697204E-005;1;6.90063499643237E-007
